COL1;COL2;COL3;COL4;COL5;COL6;COL7;COL8;COL9;COL10;COL11;COL12;COL13;COL14;COL15;COL16;COL17;COL18;COL19;COL20;COL21;COL22;COL23;COL24;COL25;COL26;COL27;COL28;COL29;COL30;COL31;COL32;COL33;COL34;COL35;COL36;COL37;COL38;COL39;COL40
20.01556;20.16811539;26.61957692;32.87562745;30.82795238;29.78977778;28.99623077;28.4352963;28.26591071;25.29206452;18.76425234;18.9248806;28.1762695;36.85803922;35.41968243;32.11304762;25.97617647;26.33632258;24.44007317;21.52442105;11.13770968;10.53575;10.84925;11.47834286;10.8117931;11.79925532;11.8384;11.48175;11.27186047;11.05530542;10.83736735;11.11008571;11.64015584;12.11030526;12.07766667;12.11507692;12.14714286;12.02745946;11.91517204;11.53355556
13.76007692;13.76007692;17.63838462;17.71153333;17.74225;17.006875;17.19181818;17.07928571;17.07928571;17.11866667;14.37428571;14.56948781;18.48348837;18.57458333;18.57807921;18.41408333;18.32694737;18.26629412;18.16161905;17.82533333;12.7488;11.6992;14.77172727;14.43922222;13.91671429;14.33053846;14.60410811;14.18007692;13.87729091;13.70374359;12.459;12.35676596;14.83484615;14.60088889;14.52211429;14.52211429;14.36072222;14.52211429;14.22432759;14.104
61.17067123;60.06828889;59.07886207;59.487;33.3034359;32.56575;32.21046875;22.35162687;12.8339375;12.80794118;64.36156863;63.94343077;63.41010976;63.99795455;36.52626804;36.63596154;36.53218367;26.03081319;14.001;13.683925;61.02523256;59.74472093;58.6362449;58.47191304;33.07745;32.93431035;32.70169444;22.4344;12.84402128;11.7075;64.37756522;63.46213954;62.78539063;63.37785542;36.28227273;36.43598246;36.42580702;25.94246296;13.99889744;13.65028889
2.0305;2.127542373;2.210701754;2.322352941;2.340941177;2.362168224;2.394468571;2.36176378;2.332277311;2.478;1.800300242;1.823072022;1.87755615;1.911203455;2.193838983;2.192261147;2.257433333;2.259;2.3117;2.568444444;2.4395;2.551909091;2.635461539;2.7096;2.920909091;3.120235669;3.048703911;2.982348624;3.017134503;3.194439316;2.285303371;2.462103774;2.667919463;2.742561984;2.872946058;2.904538153;2.870077778;2.766625;2.915121212;3.1711875
0.470207207;0.439164134;0.447726744;0.448819767;0.443227273;0.443178571;0.452333333;0.524338235;0.537150142;0.559350932;0.52113913;0.31152027;0.34716;0.348938503;0.358437247;0.365554517;0.378926087;0.372416667;0.395679803;0.481191729;0.441184211;0.395747283;0.400188312;0.400326976;0.396431193;0.397695036;0.398256303;0.392761194;0.385428571;0.431111765;0.452595941;0.373777778;0.352807377;0.330528436;0.333532051;0.336777778;0.340502747;0.334885572;0.335311284;0.411428571
19.8526;20.0318;19.86125;20.22169231;20.7858;19.9206087;19.21944444;19.22610526;19.393725;8.395547619;20.50526;20.65245;20.462875;20.65885227;20.85125;20.68775807;20.32935;20.4298;20.35676;9.6904;19.49142857;19.576;19.61507143;19.80996296;19.95127273;19.91517241;19.6;19.56203333;19.65480882;8.566604396;19.9236087;20.12586364;20.130375;20.25305556;20.4262;20.36995714;20.3366;20.50288571;20.54532076;9.997333333
0.141366864;0.127254386;0.123348276;0.122504546;0.122134259;0.122503497;0.137091743;0.166925532;0.171288889;0.161215098;0.151486487;0.173889571;0.1671;0.165971862;0.165776805;0.16215275;0.154929919;0.159225532;0.16048;0.153891247;0.122416465;0.109922631;0.102340909;0.100199571;0.101338164;0.103636971;0.105593407;0.106623377;0.107141463;0.111300848;0.128181217;0.125169231;0.13435493;0.136687104;0.136455577;0.133970588;0.130686411;0.133459627;0.132026786;0.127014679
31.50921875;31.50265385;30.71430769;30.74565217;30.76652941;29.3438;27.7563;27.70711111;18.52813044;9.35398;32.63215;33.15313793;32.45704348;32.53307217;32.57504;31.09624658;28.30827273;28.25319512;21.69166667;8.810857143;31.2365;31.17048649;30.637;30.6675625;30.6675625;29.36146154;27.95684615;27.8105946;18.40412821;9.353430894;32.06366667;32.63213044;32.19971429;32.22014516;32.31917647;30.4736125;28.50909302;28.4224;21.73416667;8.845333333
1.393111111;1.237636036;1.183381924;1.155534483;1.139960318;1.123532544;1.088466292;0.998698908;0.980337255;1.003361285;1.422690476;1.248327103;1.177743017;1.14360969;1.126553345;1.108413907;1.077356985;1.054082126;1.031543237;1.03085775;1.647421875;1.369677966;1.316984127;1.28758209;1.240654292;1.205148387;1.172088312;1.137991561;1.127352657;1.119984496;1.71384632;1.390883721;1.27578852;1.23747438;1.210898336;1.184577444;1.149534483;1.115461053;1.104528634;1.113219931
0.1352;0.133888889;0.130470588;0.129;0.129571429;0.1331875;0.1323;0.130538462;0.1295;0.129965517;0.142083333;0.141052632;0.136205128;0.134538462;0.133853659;0.134557143;0.1405;0.14075;0.139423077;0.13925;0.158846154;0.1605;0.154538462;0.152538462;0.152;0.151166667;0.143176471;0.141125;0.140115385;0.140961039;0.168529412;0.168818182;0.16273913;0.1616;0.160892857;0.160306452;0.154628571;0.153485714;0.151372881;0.151571429
